X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X2,Amount4,Amount3,Amount2,Amount1,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,127,0,132340,132340,132340,132340,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,127,1,6140,6140,6140,6140,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,127,0,198774,198774,198774,198774,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,451,1,1065,1065,1065,1065,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,208,0,588702,588702,588702,588702,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,208,1,4967,4967,4967,4967,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,360,0,122634,122634,122634,122634,1
31,55,195128049,1215151991,42,70,981783064,2544559491,32,70,216313628,599122943,17,41,59326600,389221016,42,417,0,104857645,434752061,817561376,2380337803,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,416,1,1940,1940,1940,1940,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,286,0,216029,216029,216029,216029,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,380,0,7074108,7074108,7074108,7074108,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,380,1,5330,5330,5330,5330,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1340,1,2352,2352,2352,2352,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,369,1,954,954,954,954,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,377,1,2996,2996,2996,2996,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,342,1,37374,37374,37374,37374,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,342,0,148136,148136,148136,148136,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,148,1,8171,8171,8171,8171,-1
104,152,1466477237,1381138882,97,139,672515744,672172514,28,51,370003711,370073748,34,55,295233100,295258162,38,559,0,91246,116308,186345,-156885,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,356,1,38256,38256,38256,38256,-1
