X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X3,X2,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,1559,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,1874,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,28,2722,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,29,8472,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27,2027,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,43,2535,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,29,8254,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,7675,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,51152,0,1
19,21,41950000,40000000,0,0,0,0,0,0,0,0,0,0,0,0,40,20,9825,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,6620,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,27,66410,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,2978,1,-1
2,3,3500000,3500000,0,0,0,0,0,0,0,0,0,0,0,0,35,27,80,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,28,58847,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27,8638,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,316588,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,2552,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27,2015,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,27,2844,1,-1
3,4,800000,1000000,1,1,200000,0,0,0,0,0,0,0,0,0,32,28,1522,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6.30E+01,43482,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6.50E+01,3842,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5.90E+01,2216,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6.40E+01,3927,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,10952479,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,313,98533,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6.30E+01,4663,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.00E+01,1002,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6.30E+01,2398,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6.00E+01,3965,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.00E+00,6286,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6.50E+01,710,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5.90E+01,6685,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3.00E+01,3449,1,-1
28,31,55400000,39961068,22,25,42000000,42066345,24,27,47500000,47581362,15,18,29500000,29847861,32,28,726791,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,80826,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6.00E+01,2736,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,2389,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18,51200,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,4933,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6.40E+01,6574,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,37,1406,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6.50E+01,4296,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6.30E+01,3574,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6.00E+01,5717,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6.40E+01,6692,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6.40E+01,3204,1,-1
