   ,CUSTOMER_NO,SO_DEBIT1,SO_LAN_GD1,SO_TIEN_DEBIT1,SO_TIEN_CREBIT1,SO_DEBIT2,SO_LAN_GD3,SO_TIEN_DEBIT2,SO_TIEN_CREBIT2,SO_DEBIT3,SO_LAN_GD3,SO_TIEN_DEBIT3,SO_TIEN_CREBIT3,SO_DEBIT4,SO_LAN_GD4,SO_TIEN_DEBIT4,SO_TIEN_CREBIT4,NGAY_MO,NAMSINH,SO_NGAY_FIST,SO_DU_HIEN_TAI,SEX
1,000019471,,,,,,,,,,,,,,,,,7/4/2009,1979,127,57250,M
2,000019474,,,,,,,,,,,,,,,,,7/4/2009,1987,127,6140,F
3,000018801,,,,,,,,,,,,,,,,,7/3/2009,1988,128,102923,F
4,000019097,,,,,,,,,,,,,,,,,7/4/2009,1979,127,36292,M
5,000019858,,,,,,,,,,,,,,,,,8/15/2009,1984,85,24275,M
6,000021906,,,,,,,,,,,,,,,,,8/26/2008,1985,439,4843,M
7,000021913,,,,,,,,,,,,,,,,,4/14/2009,1959,208,452970,M
8,000019315,,,,,,,,,,,,,,,,,11/13/2008,1989,360,122634,F
9,000018258,,,,,,,,,,,,,,,,,10/24/2008,1950,380,7074108,F
10,000021625,,,,,,,,,,,,,,,,,12/2/2008,1990,1340,2352,M
11,000018897,,,,,,,,,,,,,,,,,10/25/2008,1945,1390,769,F
12,000019592,,,,,,,,,,,,,,,,,11/25/2008,1958,348,1788306,M
13,000017694,,,,,,,,,,,,,,,,,9/8/2009,1981,61,51004,F
14,000018883,,,,,,,,,,,,,,,,,9/29/2008,1964,408,44748,F
15,000018455,,,,,,,,,,,,,,,,,4/14/2009,1982,208,1128,M
16,000019887,,,,,,,,,,,,,,,,,11/4/2008,1979,369,3106,M
17,000022354,,,,,,,,,,,,,,,,,10/27/2008,1978,377,5595,F
18,000019786,,,,,,,,,,,,,,,,,7/13/2009,1977,118,22900,M
19,000019440,,,,,,,,,,,,,,,,,12/1/2008,1975,342,148136,M
20,000019997,,,,,,,,,,,,,,,,,11/17/2008,1976,356,38256,M
21,000018123,,,,,,,,,,,,,,,,,1/22/2009,1979,290,84656,M
22,000019726,,,,,,,,,,,,,,,,,12/1/2008,1977,342,84726,M
23,000019480,,,,,,,,,,,,,,,,,7/4/2009,1987,127,31107,M
24,000018410,,,,,,,,,,,,,,,,,7/2/2009,1973,129,110037,F
25,000018413,,,,,,,,,,,,,,,,,7/2/2009,1981,129,4794,M
26,000017837,,,,,,,,,,,,,,,,,1/15/2009,1955,297,13313,F
27,000018107,66,79,432833103,408900000,51,66,496245656,497439600,153,181,746450970,775309038,58,67,301284788,356040541,9/18/2009,1982,51,73105060,F
28,000018110,,,,,,,,,,,,,,,,,9/18/2009,1981,51,40523,M
29,000018112,,,,,,,,,,,,,,,,,9/18/2009,1983,51,19820,F
30,000018795,,,,,,,,,,,,,,,,,7/3/2009,1961,128,25933,F
31,000017705,,,,,,,,,,,,,,,,,12/27/2008,1952,316,1232759,M
32,000018417,,,,,,,,,,,,,,,,,7/2/2009,1964,129,740,M
33,000020755,,,,,,,,,,,,,,,,,12/1/2008,1982,342,4919,M
34,000019816,,,,,,,,,,,,,,,,,10/1/2009,1991,60,4724,F
35,000018105,,,,,,,,,,,,,,,,,9/18/2009,1977,51,328675,M
36,000019143,,,,,,,,,,,,,,,,,3/30/2009,1978,223,1266,M
37,000033953,,,,,,,,,,,,,,,,,2/23/2010,1987,8,10580,F
38,000038438,54,81,187258535,203413592,60,84,302445186,263380819,34,56,654646360,671846058,40,53,134103685,105054580,7/22/2010,1981,8,16473667,M
39,000038439,18,31,85862040,123158834,30,46,1661292260,1727341729,37,67,2002670059,3757816301,55,69,1787436837,1629086054,7/22/2010,1986,8,6771524,F
40,000039843,,,,,,,,,,,,,,,,,9/10/2010,1983,0,168210,M
41,000040066,,,,,,,,,,,,,,,,,9/16/2010,1949,33,20255,M
42,000041918,,,,,,,,,,,,,,,,,11/22/2010,1974,101,102446,M
43,000044254,,,,,,,,,,,,,,,,,2/16/2011,1983,0,7773,M
44,000046132,,,,,,,,,,,,,,,,,5/27/2011,1980,0,628,F
45,000046133,,,,,,,,,,,,,,,,,5/27/2011,1975,24,796,F
